Byrd	Byrd	Byrd	
Age	Depth	d18O	
(yr BP)	(m)	(_)	o2-based accum @  byrd
10014.2	939.96	-33.4	0.11
10038	941.83	-33.3	0.109670659
10061.5	943.7	-33.3	0.109670659
10084.5	945.57	-33.6	0.110658683
10109.4	947.44	-33.4	0.11
10134.8	949.31	-33.7	0.110988024
10161.1	951.17	-33.9	0.111646707
10187.5	953.03	-33.6	0.110658683
10214.1	954.89	-34.3	0.112964072
10238.1	956.74	-33.9	0.111646707
10262.1	958.58	-34.3	0.112964072
10285.8	960.42	-34	0.111976048
10312.2	962.26	-34.7	0.114281437
10339.5	964.09	-34.8	0.114610778
10363.6	965.93	-34.6	0.113952096
10390	967.77	-34.7	0.114281437
10414.8	969.61	-33.7	0.110988024
10443.3	971.43	-34.1	0.112305389
10471	973.25	-34.7	0.114281437
10499	975.07	-34.1	0.112305389
10527	976.9	-34.5	0.113622754
10555	978.73	-34	0.111976048
10582	980.55	-34.4	0.113293413
10610	982.36	-33.4	0.11
10640	984.17	-33.6	0.110658683
10668	985.98	-33.4	0.11
10696	987.78	-33.6	0.110658683
10724	989.58	-33.8	0.111317365
10754	991.38	-33.6	0.110658683
10781	993.17	-34	0.111976048
10809	994.94	-34.6	0.113952096
10839	996.71	-34.8	0.114610778
10868	998.5	-35	0.115269461
10899	1000.29	-34.8	0.114610778
10927	1002.07	-35	0.115269461
10957	1003.85	-34.7	0.114281437
10987	1005.63	-34.4	0.113293413
11019	1007.4	-34.2	0.112634731
11049	1009.18	-35.1	0.115598802
11082	1010.96	-34.3	0.112964072
11111	1012.73	-34	0.111976048
11142	1014.49	-34.1	0.112305389
11175	1016.25	-33.8	0.111317365
11205	1018.01	-34.1	0.112305389
11236	1019.78	-33.4	0.11
11269	1021.55	-33.7	0.110988024
11301	1023.31	-33.8	0.111317365
11333	1025.07	-34.1	0.112305389
11370	1026.81	-33.4	0.11
11408	1028.56	-33.7	0.110988024
11441	1030.31	-33.9	0.111646707
11474	1032.05	-33.9	0.111646707
11504	1033.79	-33.8	0.111317365
11538	1035.53	-33.8	0.111317365
11573	1037.26	-33.9	0.111646707
11609	1039	-34.3	0.112964072
11652	1040.73	-33.6	0.110658683
11717	1042.45	-34.1	0.112305389
11785	1044.16	-34.1	0.112305389
11851	1045.87	-34.1	0.112305389
11921	1047.59	-33.5	0.110329341
11991	1049.3	-33.6	0.110658683
12066	1051.01	-34.3	0.112964072
12136	1052.72	-34	0.111976048
12208	1054.43	-34.1	0.112305389
12284	1056.14	-33.7	0.110988024
12363	1057.85	-33.7	0.110988024
12437	1059.55	-34.5	0.113622754
