This data file has 3 columns:,,
column 1:,Depth in m below the surface,
column 2:,"Ice age following the WD2014 chronology, in years before 1950 C.E.",
column 3:,"Accumulation reconstructed using an inverse firn densification model, in m ice equivalent per year",
,,
Depth,Ice age,Accumulation
(m),(years bp),(m ice a-1)
0.767,-55,0.2144
5.135,-45,0.2175
9.293,-35,0.2173
12.999,-25,0.2138
16.302,-15,0.2136
19.527,-5,0.2164
22.842,5,0.2187
26.058,15,0.2219
29.069,25,0.2176
32.102,35,0.2175
34.737,45,0.2225
37.914,55,0.2228
40.707,65,0.2227
43.804,75,0.2152
46.306,85,0.2194
48.727,95,0.2118
51.447,105,0.2185
54.019,115,0.2232
56.693,125,0.2221
59.346,135,0.2191
61.766,145,0.2172
64.201,155,0.2191
66.764,165,0.2235
69.254,175,0.228
71.786,185,0.2187
74.14,195,0.2121
76.445,205,0.2154
78.748,215,0.2167
81.113,225,0.2198
83.447,235,0.2183
85.688,245,0.2184
88.021,255,0.2152
90.337,265,0.2137
92.516,275,0.2187
94.768,285,0.2295
97.235,295,0.2338
99.931,305,0.2386
102.253,315,0.2337
104.594,325,0.2317
106.973,335,0.227
109.331,345,0.2363
111.665,355,0.2336
114.235,365,0.2331
116.372,375,0.2332
118.848,385,0.2303
121.083,395,0.2325
123.5,405,0.236
125.947,415,0.2338
128.159,425,0.2292
130.44,435,0.2216
132.571,445,0.2281
134.78,455,0.234
137.398,465,0.2313
139.577,475,0.2312
141.78,485,0.2211
144.021,495,0.2248
146.081,505,0.2246
148.409,515,0.2302
150.706,525,0.2346
153.065,535,0.2429
155.464,545,0.2459
157.915,555,0.2388
160.188,565,0.233
162.36,575,0.2293
164.778,585,0.235
166.909,595,0.2329
169.209,605,0.2294
171.428,615,0.23
173.67,625,0.2322
175.938,635,0.2377
178.304,645,0.2395
180.661,655,0.237
182.853,665,0.2323
185.038,675,0.2307
187.32,685,0.2311
189.672,695,0.2409
191.98,705,0.2429
194.322,715,0.2409
196.619,725,0.2413
198.972,735,0.2431
201.51,745,0.2493
203.764,755,0.249
206.138,765,0.2352
208.359,775,0.2355
210.547,785,0.2366
212.878,795,0.2423
215.317,805,0.2498
217.582,815,0.2506
220.142,825,0.2413
222.484,835,0.242
224.584,845,0.2322
226.937,855,0.232
229.048,865,0.2403
231.444,875,0.245
233.753,885,0.2532
236.247,895,0.2597
238.665,905,0.2608
241.291,915,0.2513
243.654,925,0.2552
245.93,935,0.2523
248.479,945,0.2528
250.919,955,0.2572
253.206,965,0.2478
255.624,975,0.2519
258.064,985,0.2551
260.438,995,0.2597
262.954,1005,0.2638
265.558,1015,0.2666
268.02,1025,0.262
270.416,1035,0.2509
272.67,1045,0.2544
275.131,1055,0.2567
277.549,1065,0.2644
280.153,1075,0.2601
282.44,1085,0.2506
284.847,1095,0.2496
287.079,1105,0.2468
289.453,1115,0.2483
291.849,1125,0.2464
294.103,1135,0.2481
296.335,1145,0.2454
298.764,1155,0.2467
301.061,1165,0.2522
303.457,1175,0.2485
305.875,1185,0.2561
308.337,1195,0.2603
310.711,1205,0.2593
313.096,1215,0.2613
315.569,1225,0.2619
318.107,1235,0.2634
320.46,1245,0.2601
323.064,1255,0.2577
325.328,1265,0.2607
327.899,1275,0.2559
330.296,1285,0.2615
332.527,1295,0.2573
335.088,1305,0.2583
337.506,1315,0.2583
339.956,1325,0.2571
342.287,1335,0.2586
344.759,1345,0.2603
347.09,1355,0.2555
349.464,1365,0.2466
351.707,1375,0.2506
353.906,1385,0.2519
356.422,1395,0.2595
358.895,1405,0.2704
361.39,1415,0.2657
363.797,1425,0.2599
366.335,1435,0.2589
368.6,1445,0.2604
370.985,1455,0.2551
373.501,1465,0.2492
375.678,1475,0.25
377.921,1485,0.2435
380.164,1495,0.247
382.506,1505,0.2558
384.77,1515,0.2602
387.407,1525,0.2583
389.748,1535,0.2688
392.046,1545,0.2513
394.519,1555,0.2603
396.773,1565,0.2598
399.245,1575,0.2572
401.586,1585,0.2594
403.939,1595,0.2609
406.204,1605,0.2576
408.775,1615,0.255
410.875,1625,0.2492
413.271,1635,0.2444
415.328,1645,0.2426
417.648,1655,0.2351
419.803,1665,0.2373
421.882,1675,0.2333
424.158,1685,0.2358
426.116,1695,0.2364
428.315,1705,0.2443
430.558,1715,0.2578
433.118,1725,0.2703
435.591,1735,0.2634
438.085,1745,0.2603
440.241,1755,0.2497
442.484,1765,0.2457
444.661,1775,0.2481
447.068,1785,0.2513
449.365,1795,0.2513
451.587,1805,0.244
453.742,1815,0.2421
455.941,1825,0.2445
458.151,1835,0.2569
460.471,1845,0.2639
463.042,1855,0.2688
465.471,1865,0.2623
467.757,1875,0.2525
469.945,1885,0.255
472.232,1895,0.2533
474.595,1905,0.2621
476.86,1915,0.2582
479.398,1925,0.256
481.608,1935,0.2483
483.775,1945,0.2437
485.974,1955,0.242
488.118,1965,0.2531
490.35,1975,0.2532
492.768,1985,0.2577
495.055,1995,0.2634
497.374,2005,0.2646
499.803,2015,0.2639
502.21,2025,0.2628
504.442,2035,0.2606
506.838,2045,0.256
509.125,2055,0.2528
511.313,2065,0.2481
513.479,2075,0.2485
515.788,2085,0.258
518.009,2095,0.2632
520.492,2105,0.2591
522.768,2115,0.2537
524.891,2125,0.2482
527.232,2135,0.2464
529.289,2145,0.252
531.576,2155,0.2597
533.939,2165,0.2628
536.28,2175,0.2697
538.676,2185,0.2813
541.039,2195,0.2797
543.764,2205,0.2818
546.094,2215,0.2779
548.556,2225,0.2638
550.93,2235,0.2692
553.129,2245,0.2703
555.602,2255,0.2745
558.096,2265,0.2821
560.7,2275,0.2788
563.053,2285,0.2699
565.438,2295,0.2583
567.582,2305,0.254
569.792,2315,0.2615
572.155,2325,0.27
574.537,2335,0.2766
576.928,2345,0.2712
579.395,2355,0.2663
581.659,2365,0.2612
583.897,2375,0.258
586.059,2385,0.2643
588.511,2395,0.2664
590.878,2405,0.2712
593.333,2415,0.2671
595.524,2425,0.2698
597.985,2435,0.2601
600.236,2445,0.2569
602.431,2455,0.2474
604.5,2465,0.2574
606.861,2475,0.2639
609.322,2485,0.2695
611.513,2495,0.2685
613.912,2505,0.2599
616.089,2515,0.2598
618.358,2525,0.2581
620.555,2535,0.2637
622.981,2545,0.2685
625.313,2555,0.2678
627.609,2565,0.2595
629.879,2575,0.265
632.09,2585,0.2685
634.723,2595,0.2741
636.998,2605,0.272
639.183,2615,0.2647
641.454,2625,0.2599
643.862,2635,0.2613
645.977,2645,0.2556
