Depth	Ice Age  (yr before 1950)
0.8	-55
248.5	945
483.8	1945
710.7	2945
922.5	3945
1115.1	4945
1289.8	5945
1442.6	6945
1572.9	7945
1690.4	8945
1795.3	9945
1895.5	10945
2002.2	11945
2092.5	12945
2185	13945
2271.1	14945
2344.8	15945
2395.9	16945
2434.1	17945
2466.2	18945
2497.1	19945
2528.9	20945
2557.9	21945
2587.1	22945
2616.1	23945
2647.7	24945
2680.4	25945
2713.4	26945
2748.7	27945
2783.4	28945
2814.8	29945
2842.2	30945
2863.5	31945
2883	32945
2906	33945
2929	34945
2957.6	35945
2981.8	36945
3004	37945
3027.9	38945
3051.7	39945
3071.6	40945
3093.4	41945
3112.9	42945
3131.9	43945
3150.6	44945
3168.9	45945
3187.6	46945
3207.5	47945
3225.3	48945
3239.4	49945
3256.1	50945
3271.1	51945
3285.5	52945
3299.5	53945
3314	54945
3326	55945
3335	56945
3344.8	57945
3353.5	58945
3363	59945
3369.8	60945
3374.6	61945
3379	62945
3383.9	63945
3389.8	64945
3395.5	65945
3400.3	66945
