Byrd,Byrd
Depth,d18O
(m),(ä)
939.96,-33.4
941.83,-33.3
943.7,-33.3
945.57,-33.6
947.44,-33.4
949.31,-33.7
951.17,-33.9
953.03,-33.6
954.89,-34.3
956.74,-33.9
958.58,-34.3
960.42,-34
962.26,-34.7
964.09,-34.8
965.93,-34.6
967.77,-34.7
969.61,-33.7
971.43,-34.1
973.25,-34.7
975.07,-34.1
976.9,-34.5
978.73,-34
980.55,-34.4
982.36,-33.4
984.17,-33.6
985.98,-33.4
987.78,-33.6
989.58,-33.8
991.38,-33.6
993.17,-34
994.94,-34.6
996.71,-34.8
998.5,-35
1000.29,-34.8
1002.07,-35
1003.85,-34.7
1005.63,-34.4
1007.4,-34.2
1009.18,-35.1
1010.96,-34.3
1012.73,-34
1014.49,-34.1
1016.25,-33.8
1018.01,-34.1
1019.78,-33.4
1021.55,-33.7
1023.31,-33.8
1025.07,-34.1
1026.81,-33.4
1028.56,-33.7
1030.31,-33.9
1032.05,-33.9
1033.79,-33.8
1035.53,-33.8
1037.26,-33.9
1039,-34.3
1040.73,-33.6
1042.45,-34.1
1044.16,-34.1
1045.87,-34.1
1047.59,-33.5
1049.3,-33.6
1051.01,-34.3
1052.72,-34
1054.43,-34.1
1056.14,-33.7
1057.85,-33.7
1059.55,-34.5
1061.25,-34.2
1062.95,-34.7
1064.65,-34.3
1066.34,-34.3
1068.03,-35.2
1069.72,-34.7
1071.4,-35.2
1073.08,-34.6
1074.76,-34
1076.44,-34.1
1078.12,-34.5
1079.79,-35.1
1081.46,-35
1083.12,-34.6
1084.78,-34.5
1086.44,-35.1
1088.1,-35.2
1089.76,-35.4
1091.41,-35.2
1093.06,-35.6
1094.71,-36.5
1096.36,-35.6
1098.01,-35.7
1099.66,-36.3
1101.3,-36.2
1102.94,-35.7
1104.57,-35.5
1106.19,-35.5
1107.81,-35.2
1109.43,-35.2
1111.05,-35.2
1112.67,-35.9
1114.29,-35.7
1115.91,-36.6
1117.53,-36.6
1119.14,-36.2
1120.75,-36.5
1122.36,-36.6
1123.96,-36.7
1125.56,-36.4
1127.16,-36.6
1128.76,-37
1130.34,-36.6
1131.92,-36.9
1133.51,-37.1
1135.1,-36.9
1136.68,-36.7
1138.26,-37.1
1139.84,-36.4
1141.42,-36.5
1143,-35.7
1144.56,-35.7
1146.13,-35.9
1147.7,-36.9
1149.27,-37.3
1150.83,-37.1
1152.39,-36.9
1153.95,-37.1
1155.51,-36.2
1157.07,-35.5
1158.61,-35.1
1160.16,-35.9
1161.71,-36
1163.25,-36.2
1164.79,-36
1166.34,-36
1167.89,-36.1
1169.43,-35.9
1170.96,-36.7
1172.49,-36.2
1174.02,-36.2
1175.54,-36.6
1177.06,-36.2
1178.58,-36.4
1180.1,-35.9
1181.62,-36.1
1183.13,-36.2
1184.64,-36.4
1186.15,-35.8
1187.67,-36.4
1189.17,-35.9
1190.67,-36.4
1192.17,-35.5
1193.7,-36.5
1195.22,-36.9
1196.71,-36.7
1198.2,-36.4
1199.69,-36.7
1201.18,-36.3
1202.67,-37.3
1204.16,-37.4
1205.64,-37
1207.12,-37.3
1208.6,-36.5
1210.08,-37.6
1211.55,-36.4
1213.03,-37.1
1214.49,-37
1215.95,-36.8
1217.41,-37.1
1218.86,-37.4
1220.31,-37.1
1221.77,-37
1223.23,-37.1
1224.69,-37.7
1226.14,-36.5
1227.59,-37.1
1229.04,-36.7
1230.48,-37.3
1231.92,-37
1233.35,-37.6
1234.78,-37.8
1236.19,-37.1
1237.61,-37.8
1239.04,-37.3
1240.47,-38.3
1241.89,-38.3
1243.31,-37.6
1244.73,-38.1
1246.15,-38.1
1247.57,-38
1248.98,-38.3
1250.39,-38.2
1251.8,-37.9
1253.21,-37.3
1254.62,-37.1
1256.02,-37.4
1257.42,-37.7
1258.82,-37.3
1260.22,-37.6
1261.61,-38.7
1263,-37
1264.39,-38
1265.78,-38.7
1267.17,-38.7
1268.56,-38.8
1269.95,-39.1
1271.35,-39.3
1272.74,-38.8
1274.12,-37.5
1275.5,-38.4
1276.88,-38.5
1278.26,-39.1
1279.64,-38.1
1281.01,-39.2
1282.39,-39.2
1283.77,-39.2
1285.13,-39.7
1286.49,-39.7
1287.85,-39.7
1289.21,-39.8
1290.56,-40.3
1291.91,-40.4
1293.26,-39.9
1294.61,-41
1295.96,-40.1
1297.3,-38.8
1298.62,-39.3
1299.94,-39.9
1301.28,-39
1302.62,-40.8
1303.95,-39
1305.28,-39.2
1306.61,-39.3
1307.94,-39.5
1309.27,-38.8
1310.6,-40.2
1311.92,-39.2
1313.25,-38.6
1314.57,-39.9
1315.89,-39.8
1317.21,-39.3
1318.53,-39.8
1319.84,-39.8
1321.14,-39
1322.44,-38.9
1323.74,-39.4
1325.04,-39.9
1326.33,-39.5
1327.63,-39.7
1328.92,-39.8
1330.22,-40
1331.51,-40.2
1332.79,-39.3
1334.07,-39.5
1335.35,-39.4
1336.63,-39.5
1337.91,-40.6
1339.18,-40.4
1340.45,-40
1342.35,-40.3
1344.9,-40.5
1347.44,-41.2
1349.98,-41.2
1352.5,-41.1
1355.02,-41.4
1357.53,-41.8
1360.04,-40.8
1362.54,-40.8
1365.04,-41
1367.52,-40.5
1369.99,-41.4
1372.45,-41
1374.91,-41.6
1377.36,-41.3
1379.81,-41.2
1382.25,-41.5
1384.68,-41.6
1387.1,-41.1
1389.5,-41.3
1391.9,-41.3
1394.3,-41.8
1396.7,-41.3
1399.08,-41
1401.46,-41.6
1403.83,-40.9
1406.19,-41.2
1408.54,-40.8
1410.88,-40.6
1413.22,-40.2
1415.54,-40.2
1417.86,-39.9
1420.18,-39.9
1422.5,-39.8
1424.81,-38.9
1427.11,-39.5
1429.41,-40.8
1431.7,-40
1433.98,-40
1436.26,-39.9
1438.52,-40.3
1440.78,-40.3
1443.03,-40.3
1445.28,-40.5
1447.52,-40.5
1449.76,-40.8
1452,-40.8
1454.23,-40.7
1456.44,-41.5
1458.64,-40.9
1460.84,-41.1
1463.04,-41.1
1465.23,-40.7
1467.41,-40
1469.59,-39.9
1471.77,-39.7
1473.95,-39.8
1476.11,-40.1
1478.27,-40
1480.41,-39.6
1482.54,-40.5
1484.66,-40.9
1486.78,-40.1
1488.9,-40
1491.01,-39.1
1493.11,-40
1495.21,-40.3
1497.31,-40.5
1499.4,-40.5
1501.48,-40.8
1503.56,-40.6
1505.63,-41.2
1507.7,-41.3
1509.76,-41.6
1511.8,-41
1513.84,-40
1515.88,-40.3
1517.91,-40.2
1519.94,-40
1521.97,-39.7
1523.98,-39.9
1525.98,-39.9
1527.98,-39.6
1530,-40.4
1532,-40
1533.97,-40.2
1535.94,-39.9
1537.9,-40
1539.86,-39.9
1541.82,-40.1
1543.76,-39.6
1545.7,-39.4
1547.64,-40.5
1549.58,-40.8
1551.51,-40.2
1553.43,-40
1555.35,-39.3
1557.26,-39.6
1559.16,-39.7
1561.06,-40
1562.96,-40.3
1564.84,-40
1566.72,-40.6
1568.58,-40.6
1570.44,-40.6
1572.3,-40.6
1574.16,-40.8
1576.02,-40.7
1577.87,-40.5
1579.71,-39.6
1581.55,-40.2
1583.38,-39.8
1585.21,-40
1587.03,-39.7
1588.91,-39.9
1590.85,-39.7
1592.72,-39.9
1594.52,-39.5
1596.32,-39.8
1598.11,-40.6
1599.89,-40.4
1601.67,-40.3
1603.44,-40.2
1605.2,-40.5
1606.96,-39.3
1608.72,-40
1610.47,-39.9
1612.21,-39.9
1613.95,-39.7
1615.69,-40
1617.42,-40.3
1619.14,-40
1620.86,-40.7
1622.58,-40.8
1624.3,-40.7
1626.02,-40.5
1627.73,-40.9
1629.43,-40.9
1631.11,-40.8
1632.79,-40.6
1634.47,-40.7
1636.14,-40.5
1637.81,-40.9
1639.49,-40.3
1641.15,-39.9
1642.79,-40
1644.43,-39.9
1646.07,-39.3
1647.71,-38.7
1649.34,-39.5
1650.98,-39.9
1652.61,-39.6
1654.23,-40.1
1655.85,-40.2
1657.45,-40.4
1659.05,-39.9
1660.65,-39.7
1662.25,-40
1663.83,-40.1
1665.41,-40.8
1666.99,-40.8
1668.57,-40.7
1670.14,-40.3
1671.7,-40.4
1673.26,-40.5
1674.82,-40.3
1676.38,-39.6
1677.93,-40
1679.47,-40
1680.78,-40
1682.08,-40.1
1683.61,-40.1
1685.13,-40.2
1686.65,-40.3
1688.15,-40
1689.66,-40.2
1691.17,-39.5
1692.67,-39.4
1694.17,-39.3
1695.67,-39.6
1697.16,-39.3
1698.64,-39.1
1700.12,-38.9
1701.48,-39.1
1702.83,-38.7
1704.42,-38.7
1706,-38.3
1707.46,-38.2
1708.91,-38.4
1710.36,-38.9
1711.8,-38.9
1713.24,-38.8
1714.67,-38.9
1716.1,-39.1
1717.52,-38.9
1718.94,-38.9
1720.36,-38.9
1721.78,-38.8
1723.19,-39.1
1724.59,-39.5
1725.99,-39.1
1727.39,-39.1
1728.78,-39
1730.16,-39.1
1731.54,-39.7
1732.91,-39
1734.28,-39.5
1735.65,-39.7
1737.01,-40.4
1738.37,-39.9
1739.73,-40
1741.09,-40.4
1742.45,-40.6
1743.79,-40.3
1745.13,-40.6
1746.47,-40.9
1747.81,-40.8
1749.13,-40.9
1750.46,-39.9
1751.79,-40.6
1753.11,-40.8
1754.43,-40.1
1755.74,-40.7
1757.05,-40.3
1758.35,-40.3
1759.65,-40.2
1760.95,-40.4
1762.25,-40.8
1763.53,-40.2
1764.81,-40.5
1766.09,-40.8
1767.36,-40.2
1768.63,-40.2
1769.9,-40
1771.17,-40
1772.43,-40
1773.69,-39.6
1774.94,-39.5
1776.19,-39.4
1777.44,-39.4
1778.69,-40
1779.94,-40.1
1781.17,-39.8
1782.39,-39.9
